"","country_code","country","GDP_PPP_millions","Population_thousands","Per_Capita"
"1","CHN","China",18017073,1364270,13206.3836337382
"2","USA","United States",17419000,318857,54629.5047623229
"3","IND","India",7384099,1295292,5700.72153614783
"4","JPN","Japan",4630941,127132,36426.2420161722
"5","RUS","Russian Federation",3745157,143820,26040.5854540398
"6","DEU","Germany",3704911,80890,45801.8420076647
"7","BRA","Brazil",3263867,206078,15838.0176438048
"8","IDN","Indonesia",2676109,254455,10517.0226562654
"9","FRA","France",2571970,66207,38847.4028425997
"10","GBR","United Kingdom",2565070,64510,39762.3624244303
"11","MEX","Mexico",2145089,125386,17107.8828577353
"12","ITA","Italy",2128762,61336,34706.567105778
"13","KOR","Korea, Rep.",1732352,50424,34355.7036331905
"14","SAU","Saudi Arabia",1603764,30887,51923.592449898
"15","CAN","Canada",1565813,35540,44057.7658975802
"16","ESP","Spain",1541156,46405,33210.9901950221
"17","TUR","Turkey",1457863,75932,19199.5864721066
"18","IRN","Iran, Islamic Rep.",1352085,78144,17302.480036855
"19","THA","Thailand",1065673,67726,15735.06482001
"20","NGA","Nigeria",1049102,177476,5911.23306813316
"21","AUS","Australia",1031945,23491,43929.3772082925
"22","EGY","Egypt, Arab Rep.",943267,89580,10529.8839026568
"23","POL","Poland",940179,37996,24744.1572797137
"24","PAK","Pakistan",890315,185044,4811.36918786883
"25","NLD","Netherlands",803313,16854,47663.0473478106
"26","MYS","Malaysia",766645,29902,25638.586047756
"27","ZAF","South Africa",704521,54002,13046.2019925188
"28","PHL","Philippines",690894,99139,6968.9425957494
"29","COL","Colombia",638357,47791,13357.2639199849
"30","ARE","United Arab Emirates",614897,9086,67675.2146158926
"31","VEN","Venezuela, RB",553310,30694,18026.6501596403
"32","DZA","Algeria",552610,38934,14193.5069604973
"33","IRQ","Iraq",524174,34812,15057.2790991612
"34","VNM","Vietnam",510715,90730,5628.95403945773
"35","BGD","Bangladesh",496758,159078,3122.73224455927
"36","BEL","Belgium",477949,11225,42578.9755011136
"37","CHE","Switzerland",468770,8190,57236.8742368742
"38","SGP","Singapore",452691,5470,82758.8665447898
"39","SWE","Sweden",437803,9690,45180.9081527348
"40","KAZ","Kazakhstan",418879,17289,24228.0640869917
"41","HKG","Hong Kong SAR, China",398904,7242,55082.0215410108
"42","CHL","Chile",396923,17763,22345.4934414232
"43","AUT","Austria",394485,8534,46225.0996015936
"44","ROM","Romania",386300,19911,19401.3359449551
"45","PER","Peru",371335,30973,11988.9904110031
"46","UKR","Ukraine",370534,45363,8168.19875228711
"47","NOR","Norway",333131,5136,64861.9548286604
"48","CZE","Czech Republic",319599,10511,30406.1459423461
"49","QAT","Qatar",305499,2172,140653.314917127
"50","PRT","Portugal",295209,10397,28393.6712513225
"51","GRC","Greece",283555,10958,25876.5285636065
"52","KWT","Kuwait",274900,3753,73248.068212097
"53","ISR","Israel",272991,8215,33230.797321972
